Date,Value,Owner
2021-01-04,116.0,Roku
2021-01-11,62500.0,Roku
2021-01-18,0.0,Roku
2021-01-25,0.0,Roku
2021-02-01,62731.0,Roku
2021-02-08,579.0,Roku
2021-02-15,0.0,Roku
2021-02-22,0.0,Roku
2021-03-01,0.0,Roku
2021-03-08,0.0,Roku
2021-03-15,0.0,Roku
2021-03-22,0.0,Roku
2021-03-29,0.0,Roku
2021-04-01,0.0,Roku
2021-04-05,416694.0,Roku
2021-04-12,0.0,Roku
2021-04-19,0.0,Roku
2021-04-26,0.0,Roku
2021-05-01,0.0,Roku
2021-05-03,62500.0,Roku
2021-05-10,624347.0,Roku
2021-05-17,728810.0,Roku
2021-05-24,791310.0,Roku
2021-05-31,104116.0,Roku
2021-06-01,624694.0,Roku
2021-06-07,728810.0,Roku
2021-06-14,728810.0,Roku
2021-06-21,728810.0,Roku
2021-06-28,312347.0,Roku
2021-07-01,374963.0,Roku
2021-07-05,810.0,Roku
2021-07-12,810.0,Roku
2021-07-19,624810.0,Roku
2021-07-26,624694.0,Roku
2021-08-01,104116.0,Roku
2021-08-02,728810.0,Roku
2021-08-09,810.0,Roku
2021-08-16,104810.0,Roku
2021-08-23,810.0,Roku
2021-08-30,231.0,Roku
2021-09-01,579.0,Roku
2021-09-06,810.0,Roku
2021-09-13,810.0,Roku
2021-01-04,61715.0,Microsoft
2021-01-11,0.0,Microsoft
2021-01-18,10286.0,Microsoft
2021-01-25,10286.0,Microsoft
2021-02-01,51428.0,Microsoft
2021-02-08,67393.0,Microsoft
2021-02-15,522000.0,Microsoft
2021-02-22,61714.0,Microsoft
2021-03-01,72000.0,Microsoft
2021-03-08,67393.0,Microsoft
2021-03-15,30857.0,Microsoft
2021-03-22,20571.0,Microsoft
2021-03-29,0.0,Microsoft
2021-04-01,450000.0,Microsoft
2021-04-05,36536.0,Microsoft
2021-04-12,30857.0,Microsoft
2021-04-19,61714.0,Microsoft
2021-04-26,460286.0,Microsoft
2021-05-01,0.0,Microsoft
2021-05-03,30857.0,Microsoft
2021-05-10,30857.0,Microsoft
2021-05-17,0.0,Microsoft
2021-05-24,30857.0,Microsoft
2021-05-31,0.0,Microsoft
2021-06-01,0.0,Microsoft
2021-06-07,0.0,Microsoft
2021-06-14,10286.0,Microsoft
2021-06-21,10286.0,Microsoft
2021-06-28,0.0,Microsoft
2021-07-01,61714.0,Microsoft
2021-07-05,20572.0,Microsoft
2021-07-12,542571.0,Microsoft
2021-07-19,61714.0,Microsoft
2021-07-26,82286.0,Microsoft
2021-08-01,30857.0,Microsoft
2021-08-02,72000.0,Microsoft
2021-08-09,61714.0,Microsoft
2021-08-16,51428.0,Microsoft
2021-08-23,0.0,Microsoft
2021-08-30,0.0,Microsoft
2021-09-06,0.0,Microsoft
2021-09-13,92571.0,Microsoft
2021-01-04,625500.0,Sony
2021-01-11,171429.0,Sony
2021-01-18,157143.0,Sony
2021-01-25,271429.0,Sony
2021-02-01,528571.0,Sony
2021-02-08,557143.0,Sony
2021-02-15,157143.0,Sony
2021-02-22,335857.0,Sony
2021-03-01,100000.0,Sony
2021-03-08,157143.0,Sony
2021-03-15,175072.0,Sony
2021-03-22,371428.0,Sony
2021-03-29,42857.0,Sony
2021-04-01,57143.0,Sony
2021-04-05,303643.0,Sony
2021-04-12,242857.0,Sony
2021-04-19,171429.0,Sony
2021-04-26,142858.0,Sony
2021-05-01,28571.0,Sony
2021-05-03,242857.0,Sony
2021-05-10,175072.0,Sony
2021-05-17,385714.0,Sony
2021-05-24,228571.0,Sony
2021-05-31,14286.0,Sony
2021-06-01,142858.0,Sony
2021-06-07,117929.0,Sony
2021-06-14,246500.0,Sony
2021-06-21,100000.0,Sony
2021-06-28,42857.0,Sony
2021-07-01,314286.0,Sony
2021-07-05,385999.0,Sony
2021-07-12,232214.0,Sony
2021-07-19,142858.0,Sony
2021-07-26,150144.0,Sony
2021-08-01,14286.0,Sony
2021-08-02,543142.0,Sony
2021-08-09,214286.0,Sony
2021-08-16,128572.0,Sony
2021-08-23,100000.0,Sony
2021-08-30,0.0,Sony
2021-09-01,0.0,Sony
2021-09-06,150144.0,Sony
2021-09-13,150144.0,Sony
2021-01-04,1021800.0,Google
2021-01-11,1021800.0,Google
2021-01-18,1001400.0,Google
2021-01-25,950400.0,Google
2021-02-01,950400.0,Google
2021-02-08,950400.0,Google
2021-02-15,950400.0,Google
2021-02-22,950400.0,Google
2021-03-01,950400.0,Google
2021-03-08,950400.0,Google
2021-03-15,960600.0,Google
2021-03-22,950400.0,Google
2021-03-29,407314.0,Google
2021-04-01,543086.0,Google
2021-04-05,1275415.0,Google
2021-04-12,950400.0,Google
2021-04-19,950400.0,Google
2021-04-26,678858.0,Google
2021-05-01,271542.0,Google
2021-05-03,950400.0,Google
2021-05-10,950400.0,Google
2021-05-17,950400.0,Google
2021-05-24,950400.0,Google
2021-05-31,135772.0,Google
2021-06-01,814628.0,Google
2021-06-07,950400.0,Google
2021-06-14,950400.0,Google
2021-06-21,950400.0,Google
2021-06-28,407314.0,Google
2021-07-01,543086.0,Google
2021-07-05,1102708.0,Google
2021-07-12,950400.0,Google
2021-07-19,950400.0,Google
2021-07-26,814628.0,Google
2021-08-01,135772.0,Google
2021-08-02,950400.0,Google
2021-08-09,950400.0,Google
2021-08-16,950400.0,Google
2021-08-23,950400.0,Google
2021-08-30,271542.0,Google
2021-09-01,678858.0,Google
2021-09-06,960600.0,Google
2021-09-13,950400.0,Google
2021-01-04,151800.0,Vizio
2021-01-11,316800.0,Vizio
2021-01-18,154200.0,Vizio
2021-01-25,21429.0,Vizio
2021-02-01,0.0,Vizio
2021-02-08,0.0,Vizio
2021-02-15,2475.0,Vizio
2021-02-22,4950.0,Vizio
2021-03-01,0.0,Vizio
2021-03-08,0.0,Vizio
2021-03-15,134400.0,Vizio
2021-03-22,79200.0,Vizio
2021-03-29,0.0,Vizio
2021-04-01,98143.0,Vizio
2021-04-05,216000.0,Vizio
2021-04-12,174857.0,Vizio
2021-04-19,153429.0,Vizio
2021-04-26,10714.0,Vizio
2021-05-01,0.0,Vizio
2021-05-03,236657.0,Vizio
2021-05-10,138600.0,Vizio
2021-05-17,0.0,Vizio
2021-05-24,0.0,Vizio
2021-05-31,10714.0,Vizio
2021-06-01,82457.0,Vizio
2021-06-07,197057.0,Vizio
2021-06-14,150000.0,Vizio
2021-06-21,112971.0,Vizio
2021-06-28,91543.0,Vizio
2021-07-01,138482.0,Vizio
2021-07-05,86604.0,Vizio
2021-07-12,124575.0,Vizio
2021-07-19,150943.0,Vizio
2021-07-26,183086.0,Vizio
2021-08-01,10714.0,Vizio
2021-08-02,219375.0,Vizio
2021-08-09,140229.0,Vizio
2021-08-16,155829.0,Vizio
2021-08-23,19800.0,Vizio
2021-08-30,0.0,Vizio
2021-09-01,21429.0,Vizio
2021-09-06,136029.0,Vizio
2021-09-13,235029.0,Vizio
2021-01-04,127050.0,LG
2021-01-11,0.0,LG
2021-01-18,0.0,LG
2021-01-25,0.0,LG
2021-02-01,90750.0,LG
2021-02-08,0.0,LG
2021-02-15,127050.0,LG
2021-02-22,0.0,LG
2021-03-01,72600.0,LG
2021-03-08,0.0,LG
2021-03-15,0.0,LG
2021-03-22,18150.0,LG
2021-03-29,54450.0,LG
2021-04-01,72600.0,LG
2021-04-05,36300.0,LG
2021-04-12,0.0,LG
2021-04-19,0.0,LG
2021-04-26,0.0,LG
2021-05-01,0.0,LG
2021-05-03,0.0,LG
2021-05-10,0.0,LG
2021-05-17,0.0,LG
2021-05-24,0.0,LG
2021-05-31,0.0,LG
2021-06-01,0.0,LG
2021-06-07,0.0,LG
2021-06-14,54450.0,LG
2021-06-21,0.0,LG
2021-06-28,0.0,LG
2021-07-01,54450.0,LG
2021-07-05,0.0,LG
2021-07-12,0.0,LG
2021-07-19,54450.0,LG
2021-07-26,36300.0,LG
2021-08-01,0.0,LG
2021-08-02,0.0,LG
2021-08-09,0.0,LG
2021-08-16,0.0,LG
2021-08-23,0.0,LG
2021-08-30,0.0,LG
2021-09-01,0.0,LG
2021-09-06,0.0,LG
2021-09-11,0.0,LG
2021-01-04,1466392.0,Apple
2021-01-11,191908.0,Apple
2021-01-18,191908.0,Apple
2021-01-25,41123.0,Apple
2021-02-01,150785.0,Apple
2021-02-08,191908.0,Apple
2021-02-15,191908.0,Apple
2021-02-22,302308.0,Apple
2021-03-01,242308.0,Apple
2021-03-08,191908.0,Apple
2021-03-15,259108.0,Apple
2021-03-22,187476.0,Apple
2021-03-29,0.0,Apple
2021-04-01,0.0,Apple
2021-04-05,234831.0,Apple
2021-04-12,26400.0,Apple
2021-04-19,203262.0,Apple
2021-04-26,1427326.0,Apple
2021-05-01,81230.0,Apple
2021-05-03,1465358.0,Apple
2021-05-10,335908.0,Apple
2021-05-17,309508.0,Apple
2021-05-24,275908.0,Apple
2021-05-31,27416.0,Apple
2021-06-01,164492.0,Apple
2021-06-07,1370742.0,Apple
2021-06-14,268385.0,Apple
2021-06-21,177185.0,Apple
2021-06-28,82246.0,Apple
2021-07-01,1438755.0,Apple
2021-07-05,1583992.0,Apple
2021-07-12,377742.0,Apple
2021-07-19,1568558.0,Apple
2021-07-26,1471542.0,Apple
2021-08-01,44216.0,Apple
2021-08-02,309508.0,Apple
2021-08-09,309508.0,Apple
2021-08-16,294785.0,Apple
2021-08-23,213554.0,Apple
2021-08-30,87415.0,Apple
2021-09-01,152538.0,Apple
2021-09-06,1418789.0,Apple
2021-09-13,1383112.0,Apple
