Date,Placement,Content Zone Banner (PS4),"Featured Content Strand - ATL, positions 1-4 (PS4)","Featured Content Strand - BTL, positions 5-xx (PS4)","Video Hub - Featured Content Strand - ATL, positions 1-xx (PS5)","Video Hub - Featured Content Strand - BTL, positions xx-xx (PS5)",Email Newsletter Feature,PlayStation.com,Estimated Weekly Value
2021-01-04,Promotional Value,"25,500 ","500,000 ","100,000 ",0 ,0 ,0 ,0 ,"625,500 "
2021-01-11,Promotional Value,0 ,"71,429 ","100,000 ",0 ,0 ,0 ,0 ,"171,429 "
2021-01-18,Promotional Value,0 ,"71,429 ","85,714 ",0 ,0 ,0 ,0 ,"157,143 "
2021-01-25,Promotional Value,0 ,"214,286 ","57,143 ",0 ,0 ,0 ,0 ,"271,429 "
2021-02-01,Promotional Value,0 ,"428,571 ","100,000 ",0 ,0 ,0 ,0 ,"528,571 "
2021-02-08,Promotional Value,0 ,"500,000 ","57,143 ",0 ,0 ,0 ,0 ,"557,143 "
2021-02-15,Promotional Value,0 ,"71,429 ","85,714 ",0 ,0 ,0 ,0 ,"157,143 "
2021-02-22,Promotional Value,"7,286 ","285,714 ","42,857 ",0 ,0 ,0 ,0 ,"335,857 "
2021-03-01,Promotional Value,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,"100,000 "
2021-03-08,Promotional Value,0 ,"71,429 ","85,714 ",0 ,0 ,0 ,0 ,"157,143 "
2021-03-15,Promotional Value,"3,643 ","71,429 ","100,000 ",0 ,0 ,0 ,0 ,"175,071 "
2021-03-22,Promotional Value,0 ,"285,714 ","85,714 ",0 ,0 ,0 ,0 ,"371,429 "
2021-03-29,Promotional Value,0 ,0 ,"42,857 ",0 ,0 ,0 ,0 ,"42,857 "
2021-04-01,Promotional Value,0 ,0 ,"57,143 ",0 ,0 ,0 ,0 ,"57,143 "
2021-04-05,Promotional Value,"3,643 ","214,286 ","85,714 ",0 ,0 ,0 ,0 ,"303,643 "
2021-04-12,Promotional Value,0 ,"142,857 ","100,000 ",0 ,0 ,0 ,0 ,"242,857 "
2021-04-19,Promotional Value,0 ,"71,429 ","100,000 ",0 ,0 ,0 ,0 ,"171,429 "
2021-04-26,Promotional Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,"142,857 "
2021-05-01,Promotional Value,0 ,0 ,"28,571 ",0 ,0 ,0 ,0 ,"28,571 "
2021-05-03,Promotional Value,0 ,"142,857 ","100,000 ",0 ,0 ,0 ,0 ,"242,857 "
2021-05-10,Promotional Value,"3,643 ","71,429 ","100,000 ",0 ,0 ,0 ,0 ,"175,071 "
2021-05-17,Promotional Value,0 ,"285,714 ","100,000 ",0 ,0 ,0 ,0 ,"385,714 "
2021-05-24,Promotional Value,0 ,"142,857 ","85,714 ",0 ,0 ,0 ,0 ,"228,571 "
2021-05-31,Promotional Value,0 ,0 ,"14,286 ",0 ,0 ,0 ,0 ,"14,286 "
2021-06-01,Promotional Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,"142,857 "
2021-06-07,Promotional Value,"3,643 ","71,429 ","42,857 ",0 ,0 ,0 ,0 ,"117,929 "
2021-06-14,Promotional Value,"3,643 ","142,857 ","100,000 ",0 ,0 ,0 ,0 ,"246,500 "
2021-06-21,Promotional Value,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,"100,000 "
2021-06-28,Promotional Value,0 ,0 ,"42,857 ",0 ,0 ,0 ,0 ,"42,857 "
2021-07-01,Promotional Value,0 ,"214,286 ","57,143 ","42,857 ",0 ,0 ,0 ,"314,286 "
2021-07-05,Promotional Value,"14,571 ","285,714 ","42,857 ","42,857 ",0 ,0 ,0 ,"386,000 "
2021-07-12,Promotional Value,"3,643 ","142,857 ","85,714 ",0 ,0 ,0 ,0 ,"232,214 "
2021-07-19,Promotional Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,"142,857 "
2021-07-26,Promotional Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,"150,143 "
2021-08-01,Promotional Value,0 ,0 ,"14,286 ",0 ,0 ,0 ,0 ,"14,286 "
2021-08-02,Promotional Value,"14,571 ","428,571 ","100,000 ",0 ,0 ,0 ,0 ,"543,143 "
2021-08-09,Promotional Value,0 ,"142,857 ","71,429 ",0 ,0 ,0 ,0 ,"214,286 "
2021-08-16,Promotional Value,0 ,"71,429 ","57,143 ",0 ,0 ,0 ,0 ,"128,571 "
2021-08-23,Promotional Value,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,"100,000 "
2021-08-30,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-09-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-09-06,Promotional Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,"150,143 "
2021-09-13,Promotional Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,"150,143 "
